Title	Chapters	Department	Course Title
Finding Your Purpose in a World of Financial Capitalism	Chapter 5. The Importance of Financial Theory 	Economics	Financial Markets (2011)
Finding Your Purpose in a World of Financial Capitalism	Chapter 6. Welfare and Poverty 	Economics	Financial Markets (2011)
Finding Your Purpose in a World of Financial Capitalism	Chapter 7. The Democratization of Finance 	Economics	Financial Markets (2011)
Finding Your Purpose in a World of Financial Capitalism	Chapter 8. Advice for the Right Career 	Economics	Financial Markets (2011)
Why Finance?	Chapter 1. Course Introduction 	Economics	Financial Theory
Why Finance?	Chapter 2. Collateral in the Standard Theory 	Economics	Financial Theory
Why Finance?	Chapter 3. Leverage in Housing Prices 	Economics	Financial Theory
Why Finance?	Chapter 4. Examples of Finance 	Economics	Financial Theory
Why Finance?	Chapter 5. Why Study Finance? 	Economics	Financial Theory
Why Finance?	Chapter 6. Logistics 	Economics	Financial Theory
Why Finance?	Chapter 7. An Experiment of the Financial Market 	Economics	Financial Theory
Utilities, Endowments, and Equilibrium	Chapter 1. Introduction 	Economics	Financial Theory
Utilities, Endowments, and Equilibrium	Chapter 2. Why Model? 	Economics	Financial Theory
Utilities, Endowments, and Equilibrium	Chapter 3. History of Markets 	Economics	Financial Theory
Utilities, Endowments, and Equilibrium	Chapter 4. Supply and Demand and General Equilibrium 	Economics	Financial Theory
Utilities, Endowments, and Equilibrium	Chapter 5. Marginal Utility 	Economics	Financial Theory
Utilities, Endowments, and Equilibrium	Chapter 6. Endowments and Equilibrium 	Economics	Financial Theory
Computing Equilibrium	Chapter 1. Introduction 	Economics	Financial Theory
Computing Equilibrium	Chapter 2. Welfare and Utility in Free Markets 	Economics	Financial Theory
Computing Equilibrium	Chapter 3. Equilibrium amidst Consumption and Endowments 	Economics	Financial Theory
Computing Equilibrium	Chapter 4. Anticipation of Prices 	Economics	Financial Theory
Computing Equilibrium	Chapter 5. Log Utilities and Computer Models of Equilibrium 	Economics	Financial Theory
Efficiency, Assets, and Time	Chapter 1. Is the Free Market Good? A Mathematical Perspective 	Economics	Financial Theory
Efficiency, Assets, and Time	Chapter 2. The Pareto Efficiency and Equilibrium 	Economics	Financial Theory
Efficiency, Assets, and Time	Chapter 3. Fundamental Theorem of Economics 	Economics	Financial Theory
Efficiency, Assets, and Time	Chapter 4. Shortcomings of the Fundamental Theorem 	Economics	Financial Theory
Efficiency, Assets, and Time	Chapter 5. History of Mathematical Economics 	Economics	Financial Theory
Efficiency, Assets, and Time	Chapter 6. Elements of Financial Models 	Economics	Financial Theory
Present Value Prices and the Real Rate of Interest	Chapter 1. Implications of General Equilibrium 	Economics	Financial Theory
Present Value Prices and the Real Rate of Interest	Chapter 2. Interest Rates and Stock Prices 	Economics	Financial Theory
Present Value Prices and the Real Rate of Interest	Chapter 3. Defining Financial Equilibrium 	Economics	Financial Theory
Present Value Prices and the Real Rate of Interest	Chapter 4. Inflation and Arbitrage 	Economics	Financial Theory
Present Value Prices and the Real Rate of Interest	Chapter 5. Present Value Prices 	Economics	Financial Theory
Present Value Prices and the Real Rate of Interest	Chapter 6. Real and Nominal Interest Rates 	Economics	Financial Theory
Irving Fisher's Impatience Theory of Interest	Chapter 1. From Financial to General Equilbrium 	Economics	Financial Theory
Irving Fisher's Impatience Theory of Interest	Chapter 2. Applying the Principle of No Arbitrage 	Economics	Financial Theory
Irving Fisher's Impatience Theory of Interest	Chapter 3. The Fundamental Theorem of Asset Pricing 	Economics	Financial Theory
Irving Fisher's Impatience Theory of Interest	Chapter 4. Effects of Technology in Fisher Economy 	Economics	Financial Theory
Irving Fisher's Impatience Theory of Interest	Chapter 5. The Impatience Theory of Interest 	Economics	Financial Theory
Irving Fisher's Impatience Theory of Interest	Chapter 6. Conclusion 	Economics	Financial Theory
Shakespeare's Merchant of Venice and Collateral, Present Value and the Vocabulary of Finance	Chapter 1. Introduction 	Economics	Financial Theory
Shakespeare's Merchant of Venice and Collateral, Present Value and the Vocabulary of Finance	Chapter 2. Contracts in Merchant of Venice 	Economics	Financial Theory
Shakespeare's Merchant of Venice and Collateral, Present Value and the Vocabulary of Finance	Chapter 3. The Doubling Rule 	Economics	Financial Theory
Shakespeare's Merchant of Venice and Collateral, Present Value and the Vocabulary of Finance	Chapter 4. Coupon Bonds, Annuities, and Perpetuities 	Economics	Financial Theory
Shakespeare's Merchant of Venice and Collateral, Present Value and the Vocabulary of Finance	Chapter 5. Mortgage 	Economics	Financial Theory
Shakespeare's Merchant of Venice and Collateral, Present Value and the Vocabulary of Finance	Chapter 6. Applications of Financial Instruments 	Economics	Financial Theory
How a Long-Lived Institution Figures an Annual Budget; Yield	Chapter 1. Yale’s Budget Set 	Economics	Financial Theory
How a Long-Lived Institution Figures an Annual Budget; Yield	Chapter 2. Analysis of Yale’s Expenditures and Endowment 	Economics	Financial Theory
How a Long-Lived Institution Figures an Annual Budget; Yield	Chapter 3. Yield to Maturity and Internal Rate of Return 	Economics	Financial Theory
How a Long-Lived Institution Figures an Annual Budget; Yield	Chapter 4. Assessing Performance of Coupon Bond 	Economics	Financial Theory
Yield Curve Arbitrage	Chapter 1. Defining Yield 	Economics	Financial Theory
Yield Curve Arbitrage	Chapter 2. Assessing Market Interest Rate from Treasury Bonds 	Economics	Financial Theory
Yield Curve Arbitrage	Chapter 3. Zero Coupon Bonds and the Principle of Duality 	Economics	Financial Theory
Yield Curve Arbitrage	Chapter 4. Forward Interest Rate 	Economics	Financial Theory
Yield Curve Arbitrage	Chapter 5. Calculating Prices in the Future and Conclusion 	Economics	Financial Theory
Dynamic Present Value	Chapter 1. Dynamic Present Values 	Economics	Financial Theory
Dynamic Present Value	Chapter 2. Marking to Market 	Economics	Financial Theory
Dynamic Present Value	Chapter 3. Mortgages and Backward Induction 	Economics	Financial Theory
Dynamic Present Value	Chapter 4. Remaining Balances and Amortization 	Economics	Financial Theory
Dynamic Present Value	Chapter 5. Weaknesses in the U.S. Social Security System 	Economics	Financial Theory
Social Security	Chapter 1. Introduction 	Economics	Financial Theory
Social Security	Chapter 2. The Development of the U.S. Social Security System 	Economics	Financial Theory
Social Security	Chapter 3. Economic Imbalances in Social Security 	Economics	Financial Theory
Social Security	Chapter 4. Root Causes of Income Transfer in Social Security 	Economics	Financial Theory
Social Security	Chapter 5. Privatization of U.S. Social Security 	Economics	Financial Theory
Overlapping Generations Models of the Economy	Chapter 1. Introduction to the Overlapping Generation Model 	Economics	Financial Theory
Overlapping Generations Models of the Economy	Chapter 2. Financial and General Equilibrium in Social Security 	Economics	Financial Theory
Overlapping Generations Models of the Economy	Chapter 3. Present Value Analysis of Social Security 	Economics	Financial Theory
Overlapping Generations Models of the Economy	Chapter 4. Real Rate of Interest and Social Security 	Economics	Financial Theory
Demography and Asset Pricing: Will the Stock Market Decline when the Baby Boomers Retire?	Chapter 1. Stationarity and Equilibrium in the Overlapping Generations Model 	Economics	Financial Theory
Demography and Asset Pricing: Will the Stock Market Decline when the Baby Boomers Retire?	Chapter 2. Evaluating Tobin’s Thoughts on Social Security 	Economics	Financial Theory
Demography and Asset Pricing: Will the Stock Market Decline when the Baby Boomers Retire?	Chapter 3. Birth Rates and Stock Market Levels 	Economics	Financial Theory
Demography and Asset Pricing: Will the Stock Market Decline when the Baby Boomers Retire?	Chapter 4. Philosophical and Statistical Framework of Uncertainty 	Economics	Financial Theory
Quantifying Uncertainty and Risk	Chapter 1. Expectation, Variance, and Covariance 	Economics	Financial Theory
Quantifying Uncertainty and Risk	Chapter 2. Diversification and Risk Exposure 	Economics	Financial Theory
Quantifying Uncertainty and Risk	Chapter 3. Conditional Expectation 	Economics	Financial Theory
Quantifying Uncertainty and Risk	Chapter 4. Uncertainty in Interest Rates 	Economics	Financial Theory
Uncertainty and the Rational Expectations Hypothesis: Applications to Predicting Stock Prices, Default Probabilities, and Hyperbolic Discounting	Chapter 1. The Rational Expectations Hypothesis 	Economics	Financial Theory
Uncertainty and the Rational Expectations Hypothesis: Applications to Predicting Stock Prices, Default Probabilities, and Hyperbolic Discounting	Chapter 2. Dependence on Prices in a Certain World 	Economics	Financial Theory
Uncertainty and the Rational Expectations Hypothesis: Applications to Predicting Stock Prices, Default Probabilities, and Hyperbolic Discounting	Chapter 3. Implications of Uncertain Discount Rates and Hyperbolic Discounting 	Economics	Financial Theory
Uncertainty and the Rational Expectations Hypothesis: Applications to Predicting Stock Prices, Default Probabilities, and Hyperbolic Discounting	Chapter 4. Uncertainties of Default 	Economics	Financial Theory
Backward Induction and Optimal Stopping Times	Chapter 1. Calculating Default Probabilities 	Economics	Financial Theory
Backward Induction and Optimal Stopping Times	Chapter 2. Relationship between Defaults and Forward Rates 	Economics	Financial Theory
Backward Induction and Optimal Stopping Times	Chapter 3. Zermelo, Chess, and Backward Induction 	Economics	Financial Theory
Backward Induction and Optimal Stopping Times	Chapter 4. Optimal Stopping Games and Backward Induction 	Economics	Financial Theory
Backward Induction and Optimal Stopping Times	Chapter 5. The Optimal Marriage Problem 	Economics	Financial Theory
Callable Bonds and the Mortgage Prepayment Option	Chapter 1. Introduction to Callable Bonds and Mortgage Options 	Economics	Financial Theory
Callable Bonds and the Mortgage Prepayment Option	Chapter 2. Assessing Option Value via Backward Induction 	Economics	Financial Theory
Callable Bonds and the Mortgage Prepayment Option	Chapter 3. Fixed Rate Amortizing Mortgage 	Economics	Financial Theory
Callable Bonds and the Mortgage Prepayment Option	Chapter 4. How Banks Set Mortgage Rates for Prepayers 	Economics	Financial Theory
Modeling Mortgage Prepayments and Valuing Mortgages	Chapter 1. Review of Mortgages 	Economics	Financial Theory
Modeling Mortgage Prepayments and Valuing Mortgages	Chapter 2. Complications of Refinancing Mortgages 	Economics	Financial Theory
Modeling Mortgage Prepayments and Valuing Mortgages	Chapter 3. Non-contingent Forecasts of Mortgage Value 	Economics	Financial Theory
Modeling Mortgage Prepayments and Valuing Mortgages	Chapter 4. The Modern Behavior Rationalizing Model of Mortgage Value 	Economics	Financial Theory
Modeling Mortgage Prepayments and Valuing Mortgages	Chapter 5. Risk in Mortgages and Hedging 	Economics	Financial Theory
History of the Mortgage Market: A Personal Narrative	Chapter 1. Fannie Mae, Freddie Mac, and the Mortgage Securities Market 	Economics	Financial Theory
History of the Mortgage Market: A Personal Narrative	Chapter 2. Collateralized Mortgage Obligations 	Economics	Financial Theory
History of the Mortgage Market: A Personal Narrative	Chapter 3. Modeling Prepayment Tendencies at Kidder Peabody 	Economics	Financial Theory
History of the Mortgage Market: A Personal Narrative	Chapter 4. The Rise of Ellington Capital Management and the Role of Hedge Funds 	Economics	Financial Theory
History of the Mortgage Market: A Personal Narrative	Chapter 5. The Leverage Cycle and the Subprime Mortgage Market 	Economics	Financial Theory
History of the Mortgage Market: A Personal Narrative	Chapter 6. The Credit Default Swap 	Economics	Financial Theory
History of the Mortgage Market: A Personal Narrative	Chapter 7. Conclusion 	Economics	Financial Theory
Dynamic Hedging	Chapter 1. Fundamentals of Hedging 	Economics	Financial Theory
Dynamic Hedging	Chapter 2. The Principle of Dynamic Hedging 	Economics	Financial Theory
Dynamic Hedging	Chapter 3. How Does Hedging Generate Profit? 	Economics	Financial Theory
Dynamic Hedging	Chapter 4. Maintaining Profits from Dynamic Hedging 	Economics	Financial Theory
Dynamic Hedging	Chapter 5. Dynamic Hedging in the Bond Market 	Economics	Financial Theory
Dynamic Hedging	Chapter 6. Conclusion 	Economics	Financial Theory
Dynamic Hedging and Average Life	Chapter 1. Review of Dynamic Hedging 	Economics	Financial Theory
Dynamic Hedging and Average Life	Chapter 2. Dynamic Hedging as Marking-to-Market 	Economics	Financial Theory
Dynamic Hedging and Average Life	Chapter 3. Dynamic Hedging and Prepayment Models in the Market 	Economics	Financial Theory
Dynamic Hedging and Average Life	Chapter 4. Appropriate Hedges against Interest Rate Movements 	Economics	Financial Theory
Dynamic Hedging and Average Life	Chapter 5. Measuring the Average Life of a Bond 	Economics	Financial Theory
Risk Aversion and the Capital Asset Pricing Theorem	Chapter 1. Risk Aversion 	Economics	Financial Theory
Risk Aversion and the Capital Asset Pricing Theorem	Chapter 2. The Bernoulli Explanation of Risk 	Economics	Financial Theory
Risk Aversion and the Capital Asset Pricing Theorem	Chapter 3. Foundations of the Capital Asset Pricing Model 	Economics	Financial Theory
Risk Aversion and the Capital Asset Pricing Theorem	Chapter 4. Accounting for Risk in Prices and Asset Holdings in General Equilibrium 	Economics	Financial Theory
Risk Aversion and the Capital Asset Pricing Theorem	Chapter 5. Implications of Risk in Hedging 	Economics	Financial Theory
Risk Aversion and the Capital Asset Pricing Theorem	Chapter 6. Diversification in Equilibrium and Conclusion 	Economics	Financial Theory
The Mutual Fund Theorem and Covariance Pricing Theorems	Chapter 1. The Mutual Fund Theorem 	Economics	Financial Theory
The Mutual Fund Theorem and Covariance Pricing Theorems	Chapter 2. Covariance Pricing Theorem and Diversification 	Economics	Financial Theory
The Mutual Fund Theorem and Covariance Pricing Theorems	Chapter 3. Deriving Elements of the Capital Asset Pricing Model 	Economics	Financial Theory
The Mutual Fund Theorem and Covariance Pricing Theorems	Chapter 4. Mutual Fund Theorem in Math and Its Significance 	Economics	Financial Theory
The Mutual Fund Theorem and Covariance Pricing Theorems	Chapter 5. The Sharpe Ratio and Independent Risks 	Economics	Financial Theory
The Mutual Fund Theorem and Covariance Pricing Theorems	Chapter 6. Price Dependence on Covariance, Not Variance 	Economics	Financial Theory
Risk, Return, and Social Security	Chapter 1. Testing the Capital Asset Pricing Model 	Economics	Financial Theory
Risk, Return, and Social Security	Chapter 2. Evaluation of Fund Management Performance Using CAPM 	Economics	Financial Theory
Risk, Return, and Social Security	Chapter 3. Reassessing Assets within Social Security 	Economics	Financial Theory
Risk, Return, and Social Security	Chapter 4. Reconciling Democratic and Republican Views on Social Security 	Economics	Financial Theory
Risk, Return, and Social Security	Chapter 5. Geanakoplos’s Personal Annuitized Average Wage Securities 	Economics	Financial Theory
Risk, Return, and Social Security	Chapter 6. The Black-Scholes Model 	Economics	Financial Theory
The Leverage Cycle and the Subprime Mortgage Crisis	Chapter 1. Assumptions on Loans in the Subprime Mortgage Market 	Economics	Financial Theory
The Leverage Cycle and the Subprime Mortgage Crisis	Chapter 2. Market Weaknesses Revealed in the 2007-2009 Financial Crisis 	Economics	Financial Theory
The Leverage Cycle and the Subprime Mortgage Crisis	Chapter 3. Collateral and Introduction to the Leverage Cycle 	Economics	Financial Theory
The Leverage Cycle and the Subprime Mortgage Crisis	Chapter 4. Contrasts between the Leverage Cycle and CAPM 	Economics	Financial Theory
The Leverage Cycle and the Subprime Mortgage Crisis	Chapter 5. Leverage Cycle Theory in Recent Financial History 	Economics	Financial Theory
The Leverage Cycle and the Subprime Mortgage Crisis	Chapter 6. Negative Implications of the Leverage Cycle 	Economics	Financial Theory
The Leverage Cycle and the Subprime Mortgage Crisis	Chapter 7. Conclusion 	Economics	Financial Theory
The Leverage Cycle and Crashes	Chapter 1. Introduction 	Economics	Financial Theory
The Leverage Cycle and Crashes	Chapter 2. Understanding Leverage 	Economics	Financial Theory
The Leverage Cycle and Crashes	Chapter 3. Supply and Demand Effects on Interest Rates and Leverage 	Economics	Financial Theory
The Leverage Cycle and Crashes	Chapter 4. Impatience and Volatility on Setting Leverage 	Economics	Financial Theory
The Leverage Cycle and Crashes	Chapter 5. Bad News, Pessimism, Price Drops, and Leverage Cycle Crashes 	Economics	Financial Theory
The Leverage Cycle and Crashes	Chapter 6. Can Leverage Be Monitored? 	Economics	Financial Theory
Introduction: Five First Lessons	Chapter 1. What Is Strategy? 	Economics	Game Theory
Introduction: Five First Lessons	Chapter 2. Strategy: Where Does It Apply? 	Economics	Game Theory
Introduction: Five First Lessons	Chapter 3. (Administrative Issues) 	Economics	Game Theory
Introduction: Five First Lessons	Chapter 4. Elements of a Game: Strategies, Actions, Outcomes and Payoffs 	Economics	Game Theory
Introduction: Five First Lessons	Chapter 5. Strictly Dominant versus Strictly Dominated Strategies 	Economics	Game Theory
Introduction: Five First Lessons	Chapter 6. Contracts and Collusion 	Economics	Game Theory
Introduction: Five First Lessons	Chapter 7. The Failure of Collusion and Inefficient Outcomes: Prisoner’s Dilemma 	Economics	Game Theory
Introduction: Five First Lessons	Chapter 8. Coordination Problems 	Economics	Game Theory
Introduction: Five First Lessons	Chapter 9. Lesson Recap 	Economics	Game Theory
Putting Yourselves into Other People's Shoes	Chapter 1. Recap of Previous Lecture: Prisoners’ Dilemma and Payoffs 	Economics	Game Theory
Putting Yourselves into Other People's Shoes	Chapter 2. The Formal Ingredients of a Game 	Economics	Game Theory
Putting Yourselves into Other People's Shoes	Chapter 3. Weakly Dominant Strategies 	Economics	Game Theory
Putting Yourselves into Other People's Shoes	Chapter 4. Rationality and Common Knowledge 	Economics	Game Theory
Putting Yourselves into Other People's Shoes	Chapter 5. Common Knowledge vs. Mutual Knowledge 	Economics	Game Theory
Iterative Deletion and the Median-Voter Theorem	Chapter 1. Iterative Deletion of Dominated Strategies: The Median Voter Theorem 	Economics	Game Theory
Iterative Deletion and the Median-Voter Theorem	Chapter 2. Iterative Deletion of Dominated Strategies: Problems with The Median Voter Theorem 	Economics	Game Theory
Iterative Deletion and the Median-Voter Theorem	Chapter 3. Iterative Deletion of Dominated Strategies: Robustness of The Median Voter Theorem 	Economics	Game Theory
Iterative Deletion and the Median-Voter Theorem	Chapter 4. Best Response 	Economics	Game Theory
Best Responses in Soccer and Business Partnerships	Chapter 1. Best Response: Penalty Kicks in Soccer 	Economics	Game Theory
Best Responses in Soccer and Business Partnerships	Chapter 2. Best Response: Issues with the Penalty Kick Model 	Economics	Game Theory
Best Responses in Soccer and Business Partnerships	Chapter 3. Best Response: Formal Definition 	Economics	Game Theory
Best Responses in Soccer and Business Partnerships	Chapter 4. Externalities and Inefficient Outcomes: The Partnership Game 	Economics	Game Theory
Best Responses in Soccer and Business Partnerships	Chapter 5. Nash Equilibrium: Preview 	Economics	Game Theory
Nash Equilibrium: Bad Fashion and Bank Runs	Chapter 1. Nash Equilibrium: Definition 	Economics	Game Theory
Nash Equilibrium: Bad Fashion and Bank Runs	Chapter 2. Nash Equilibrium: Examples 	Economics	Game Theory
Nash Equilibrium: Bad Fashion and Bank Runs	Chapter 3. Nash Equilibrium: Relation to Dominance 	Economics	Game Theory
Nash Equilibrium: Bad Fashion and Bank Runs	Chapter 4. Pareto Efficient Equilibria in Coordination Games: The Investment Game 	Economics	Game Theory
Nash Equilibrium: Bad Fashion and Bank Runs	Chapter 5. Pareto Efficient Equilibria in Coordination Games: Other Examples 	Economics	Game Theory
Nash Equilibrium: Dating and Cournot	Chapter 1. Coordination Games: Scope for Leadership and Strategic Complements 	Economics	Game Theory
Nash Equilibrium: Dating and Cournot	Chapter 2. Coordination Games: The Battle of the Sexes 	Economics	Game Theory
Nash Equilibrium: Dating and Cournot	Chapter 3. Cournot Duopoly: Math 	Economics	Game Theory
Nash Equilibrium: Dating and Cournot	Chapter 4. Cournot Duopoly: Real World Examples 	Economics	Game Theory
Nash Equilibrium: Shopping, Standing and Voting on a Line	Chapter 1. Bertrand Duopoly: Standard Model 	Economics	Game Theory
Nash Equilibrium: Shopping, Standing and Voting on a Line	Chapter 2. Bertrand Duopoly: Product Differentiation 	Economics	Game Theory
Nash Equilibrium: Shopping, Standing and Voting on a Line	Chapter 3. Perfect Competition Revisited: The Candidate Voter Model 	Economics	Game Theory
Nash Equilibrium: Location, Segregation and Randomization	Chapter 1. Candidate - Voter Model: Standard Model 	Economics	Game Theory
Nash Equilibrium: Location, Segregation and Randomization	Chapter 2. Location and Segregation: Why Outcomes Are Not Necessarily Preferences 	Economics	Game Theory
Nash Equilibrium: Location, Segregation and Randomization	Chapter 3. Location and Segregation: Examples 	Economics	Game Theory
Nash Equilibrium: Location, Segregation and Randomization	Chapter 4. Location and Segregation: Policy Implications 	Economics	Game Theory
Nash Equilibrium: Location, Segregation and Randomization	Chapter 5. Location and Segregation: Central vs. Individual Randomization 	Economics	Game Theory
Nash Equilibrium: Location, Segregation and Randomization	Chapter 6. Pure vs. Mixed Strategies: Rock, Paper, Scissors 	Economics	Game Theory
Mixed Strategies in Theory and Tennis	Chapter 1. Mixed Strategies: Definition 	Economics	Game Theory
Mixed Strategies in Theory and Tennis	Chapter 2. Mixed Strategies: Examples 	Economics	Game Theory
Mixed Strategies in Theory and Tennis	Chapter 3. Mixed Strategies: Direct and Indirect Effects on the Nash Equilibrium 	Economics	Game Theory
Mixed Strategies in Theory and Tennis	Chapter 4. Mixed Strategies and the Nash Equilibrium: Example 	Economics	Game Theory
Mixed Strategies in Baseball, Dating and Paying Your Taxes	Chapter 1. Mixed Strategy Equilibria: Example (Continued) 	Economics	Game Theory
Mixed Strategies in Baseball, Dating and Paying Your Taxes	Chapter 2. Mixed Strategy Equilibria: Other Examples in Sports 	Economics	Game Theory
Mixed Strategies in Baseball, Dating and Paying Your Taxes	Chapter 3. Mixed Strategy Equilibria Interpretation 1: Literal Randomization 	Economics	Game Theory
Mixed Strategies in Baseball, Dating and Paying Your Taxes	Chapter 4. Mixed Strategy Equilibria Interpretation 2: Players’ Beliefs about Each Other’s Actions 	Economics	Game Theory
Mixed Strategies in Baseball, Dating and Paying Your Taxes	Chapter 5. Mixed Strategy Equilibria Interpretation 3: Prediction of Split on Two or More Courses of Action in a Large Population 	Economics	Game Theory
Mixed Strategies in Baseball, Dating and Paying Your Taxes	Chapter 6. Mixed Strategy Equilibria: Policy Applications 	Economics	Game Theory
Evolutionary Stability: Cooperation, Mutation, and Equilibrium	Chapter 1. Game Theory and Evolution: Evolutionarily Stable Strategies - Example 	Economics	Game Theory
Evolutionary Stability: Cooperation, Mutation, and Equilibrium	Chapter 2. Game Theory and Evolution: Evolutionarily Stable Strategies - Discussion 	Economics	Game Theory
Evolutionary Stability: Cooperation, Mutation, and Equilibrium	Chapter 3. Game Theory and Evolution: Evolutionarily Stable Strategies Are Always Nash Equilibria 	Economics	Game Theory
Evolutionary Stability: Cooperation, Mutation, and Equilibrium	Chapter 4. Game Theory and Evolution: Nash Equilibria Are Not Always Evolutionarily Stable Strategies 	Economics	Game Theory
Evolutionary Stability: Cooperation, Mutation, and Equilibrium	Chapter 5. Game Theory and Evolution: Evolutionarily Stable Strategies and Nash Equilibria - Discussion 	Economics	Game Theory
Evolutionary Stability: Social Convention, Aggression, and Cycles	Chapter 1. Monomorphic and Polymorphic Populations Theory: Definition 	Economics	Game Theory
Evolutionary Stability: Social Convention, Aggression, and Cycles	Chapter 2. Monomorphic and Polymorphic Populations Theory: Hawk vs. Dove 	Economics	Game Theory
Evolutionary Stability: Social Convention, Aggression, and Cycles	Chapter 3. Monomorphic and Polymorphic Populations Theory: Discussion 	Economics	Game Theory
Evolutionary Stability: Social Convention, Aggression, and Cycles	Chapter 4. Monomorphic and Polymorphic Populations Theory: Identification and Testability 	Economics	Game Theory
Sequential Games: Moral Hazard, Incentives, and Hungry Lions	Chapter 1. Sequential Games: Backward Induction 	Economics	Game Theory
Sequential Games: Moral Hazard, Incentives, and Hungry Lions	Chapter 2. Sequential Games: Moral Hazard 	Economics	Game Theory
Sequential Games: Moral Hazard, Incentives, and Hungry Lions	Chapter 3. Sequential Games: Incentive Design 	Economics	Game Theory
Sequential Games: Moral Hazard, Incentives, and Hungry Lions	Chapter 4. Sequential Games: Commitment Strategies 	Economics	Game Theory
Sequential Games: Moral Hazard, Incentives, and Hungry Lions	Chapter 5. Sequential Games: Backward Induction Is Really Important 	Economics	Game Theory
Backward Induction: Commitment, Spies, and First-Mover Advantages	Chapter 1. Sequential Games: First Mover Advantage in the Stackelberg Model 	Economics	Game Theory
Backward Induction: Commitment, Spies, and First-Mover Advantages	Chapter 2. First Mover Advantage: Commitment Strategy 	Economics	Game Theory
Backward Induction: Commitment, Spies, and First-Mover Advantages	Chapter 3. First Mover Advantage: Why It Is Not Always an Advantage 	Economics	Game Theory
Backward Induction: Commitment, Spies, and First-Mover Advantages	Chapter 4. First and Second Mover Advantage: NIM 	Economics	Game Theory
Backward Induction: Chess, Strategies, and Credible Threats	Chapter 1. First and Second Mover Advantages: Zermelo’s Theorem 	Economics	Game Theory
Backward Induction: Chess, Strategies, and Credible Threats	Chapter 2. Zermelo’s Theorem: Proof 	Economics	Game Theory
Backward Induction: Chess, Strategies, and Credible Threats	Chapter 3. Zermelo’s Theorem: Generalization 	Economics	Game Theory
Backward Induction: Chess, Strategies, and Credible Threats	Chapter 4. Zermelo’s Theorem: Games of Induction 	Economics	Game Theory
Backward Induction: Chess, Strategies, and Credible Threats	Chapter 5. Games of Perfect Information: Definition 	Economics	Game Theory
Backward Induction: Chess, Strategies, and Credible Threats	Chapter 6. Games of Perfect Information: Economic Example 	Economics	Game Theory
Backward Induction: Reputation and Duels	Chapter 1. Establishing a Reputation: Selten’s Chain Store Paradox 	Economics	Game Theory
Backward Induction: Reputation and Duels	Chapter 2. Establishing a Reputation: Discussion 	Economics	Game Theory
Backward Induction: Reputation and Duels	Chapter 3. Dueling: Game Setup 	Economics	Game Theory
Backward Induction: Reputation and Duels	Chapter 4. Dueling: Game Analysis 	Economics	Game Theory
Backward Induction: Reputation and Duels	Chapter 5. Dueling: Finding a Solution 	Economics	Game Theory
Backward Induction: Reputation and Duels	Chapter 6. Dueling: Generalization 	Economics	Game Theory
Backward Induction: Ultimatums and Bargaining	Chapter 1. Ultimatum Games: Why Backward Induction Fails Here 	Economics	Game Theory
Backward Induction: Ultimatums and Bargaining	Chapter 2. Bargaining Games: Generalization 	Economics	Game Theory
Backward Induction: Ultimatums and Bargaining	Chapter 3. Bargaining Games: Summary of Proof of Generalization 	Economics	Game Theory
Backward Induction: Ultimatums and Bargaining	Chapter 4. Bargaining Games: Assumptions and Conclusions 	Economics	Game Theory
Imperfect Information: Information Sets and Sub-Game Perfection	Chapter 1. Games of Imperfect Information: Information Sets 	Economics	Game Theory
Imperfect Information: Information Sets and Sub-Game Perfection	Chapter 2. Games of Imperfect Information: Translating a Game from Matrix Form to Tree Form and Vice Versa 	Economics	Game Theory
Imperfect Information: Information Sets and Sub-Game Perfection	Chapter 3. Games of Imperfect Information: Finding Nash Equilibria 	Economics	Game Theory
Imperfect Information: Information Sets and Sub-Game Perfection	Chapter 4. Games of Imperfect Information: Sub-games 	Economics	Game Theory
Imperfect Information: Information Sets and Sub-Game Perfection	Chapter 5. Games of Imperfect Information: Sub-game Perfect Equilibria 	Economics	Game Theory
Subgame Perfect Equilibrium: Matchmaking and Strategic Investments	Chapter 1. Sub-game Perfect Equilibria: Example 	Economics	Game Theory
Subgame Perfect Equilibrium: Matchmaking and Strategic Investments	Chapter 2. Sub-game Perfect Equilibria: Matchmaking 	Economics	Game Theory
Subgame Perfect Equilibrium: Matchmaking and Strategic Investments	Chapter 3. Matchmaking: SPEs of the Game 	Economics	Game Theory
Subgame Perfect Equilibrium: Matchmaking and Strategic Investments	Chapter 4. Sub-game Perfect Equilibria: Strategic Investments 	Economics	Game Theory
Subgame Perfect Equilibrium: Matchmaking and Strategic Investments	Chapter 5. Strategic Investments: Discussion 	Economics	Game Theory
Subgame Perfect Equilibrium: Wars of Attrition	Chapter 1. Wars of Attrition: The Rivalry Game 	Economics	Game Theory
Subgame Perfect Equilibrium: Wars of Attrition	Chapter 2. Wars of Attrition: Real World Examples 	Economics	Game Theory
Subgame Perfect Equilibrium: Wars of Attrition	Chapter 3. Wars of Attrition: Analysis 	Economics	Game Theory
Subgame Perfect Equilibrium: Wars of Attrition	Chapter 4. Wars of Attrition: Discussion of SPEs 	Economics	Game Theory
Subgame Perfect Equilibrium: Wars of Attrition	Chapter 5. Wars of Attrition: Generalization 	Economics	Game Theory
Repeated Games: Cooperation vs. the End Game	Chapter 1. Repeated Interaction: Cooperation versus Defection in the Prisoner’s Dilemma 	Economics	Game Theory
